highway,maxspeed,lanes,oneway,latitude,longitude
residential,25 mph,1,no,40.7579032,-73.9598391
primary,25 mph,2,yes,40.7467198,-73.9815136
secondary,20 mph,2,no,40.7135685,-73.9961048
residential,25 mph,2,yes,40.716449,-73.9815799
residential,20 mph,1,yes,40.7180197,-74.0096714
residential,25 mph,1,yes,40.7370858,-74.0058125
secondary,25 mph,2,no,40.7728587,-73.9538943
residential,25 mph,1,yes,40.7981936,-73.970277
residential,25 mph,1,yes,40.7349282,-73.9815014
residential,25 mph,1,no,40.7133312,-74.0019245
secondary,20 mph,1,yes,40.7117267,-74.0093878
residential,20 mph,2,yes,40.7152736,-74.0162964
residential,25 mph,1,yes,40.7306059,-73.990561
residential,20 mph,1,yes,40.7086629,-74.006009
residential,20 mph,1,yes,40.7106113,-74.0036832
residential,20 mph,1,yes,40.7057036,-74.0153688
residential,25 mph,2,no,40.7409745,-74.0074669
residential,25 mph,1,yes,40.7343051,-73.98456
residential,25 mph,1,yes,40.7313746,-74.0002789
residential,25 mph,1,yes,40.739064,-74.0038078
unclassified,25 mph,3,yes,40.7488244,-73.9747435
unclassified,20 mph,1,yes,40.7092072,-74.0125445
residential,25 mph,1,yes,40.7107877,-73.9607659
tertiary,25 mph,2,no,40.7375268,-73.9528537
residential,25 mph,1,yes,40.7032096,-73.9897139
secondary,25 mph,1,yes,40.7051886,-73.9676897
residential,25 mph,1,yes,40.7017364,-73.9932186
tertiary,25 mph,2,no,40.7371687,-73.9566914
residential,25 mph,1,yes,40.7019757,-73.9496119
secondary,25 mph,2,yes,40.714255,-73.9526418
residential,25 mph,1,yes,40.7044688,-73.9879757
residential,25 mph,1,yes,40.734576,-73.9537456
residential,25 mph,1,yes,40.7229305,-73.9543475
residential,25 mph,1,no,40.7227905,-73.9567924
secondary,25 mph,1,yes,40.7007199,-73.9621717
residential,25 mph,1,yes,40.7280004,-73.9521693
tertiary,25 mph,1,yes,40.7381173,-73.9541344
residential,25 mph,1,yes,40.7041474,-73.9884687
residential,25 mph,1,yes,40.7205786,-73.9591688
residential,25 mph,2,no,40.7303537,-73.9602635
residential,25 mph,1,no,40.7281752,-73.9604501
residential,20 mph,1,yes,40.7009128,-73.9922513
residential,25 mph,1,yes,40.7023943,-73.9947402
tertiary,25 mph,2,no,40.7336995,-73.9497197
residential,25 mph,1,yes,40.703062,-73.9806813
residential,25 mph,1,yes,40.7241663,-73.9560299
residential,25 mph,1,yes,40.709135,-73.960474
residential,25 mph,1,yes,40.7316251,-73.9544644
residential,20 mph,1,yes,40.7001561,-73.9921681
unclassified,25 mph,1,no,40.7261367,-73.9592168
residential,25 mph,1,yes,40.703301,-73.9801184
secondary,25 mph,1,yes,40.7106969,-73.9676443
residential,25 mph,1,yes,40.7238623,-73.9557025
residential,25 mph,2,no,40.7317687,-73.9605485
residential,25 mph,1,yes,40.7047399,-73.9618422
secondary,25 mph,1,yes,40.704353,-73.9599221
residential,25 mph,1,yes,40.7364524,-73.9567091
residential,25 mph,1,yes,40.724687,-73.9563456
tertiary,25 mph,1,yes,40.7364064,-73.9525766
residential,20 mph,1,yes,40.7011224,-73.9937713
residential,25 mph,1,yes,40.7040068,-73.9660776
residential,25 mph,1,yes,40.7333529,-73.9589967
residential,20 mph,1,yes,40.695875,-73.9937714
secondary,25 mph,2,yes,40.7007696,-73.9906349
residential,25 mph,1,yes,40.7024542,-73.9639367
secondary,25 mph,2,no,40.725464,-73.9574963
residential,25 mph,1,yes,40.7073008,-73.9616155
residential,25 mph,1,yes,40.7026397,-73.993807
residential,25 mph,2,no,40.7253041,-73.952157
residential,25 mph,1,yes,40.7175486,-73.9504152
residential,25 mph,2,no,40.7109272,-73.9602637
residential,20 mph,1,yes,40.6984221,-73.9962812
residential,25 mph,1,yes,40.7290936,-73.9582944
residential,25 mph,1,yes,40.7358211,-73.9557473
residential,25 mph,1,yes,40.7350288,-73.9564483
motorway,40 mph,2,yes,40.693541,-74.0107835
secondary,25 mph,1,yes,40.7237479,-73.9568475
residential,20 mph,1,yes,40.6998546,-73.9937288
residential,25 mph,2,no,40.7113693,-73.9531791
unclassified,25 mph,1,no,40.7402718,-73.9548449
residential,25 mph,2,yes,40.7417321,-73.9603888
residential,25 mph,1,yes,40.7426369,-73.9517577
residential,25 mph,1,no,40.7440875,-73.9572759
residential,25 mph,1,yes,40.7464751,-73.9506128
residential,25 mph,1,yes,40.7456383,-73.9502269
residential,25 mph,1,yes,40.7453838,-73.9525911
unclassified,25 mph,1,no,40.7402007,-73.9527047
residential,25 mph,2,yes,40.7436029,-73.9510028
residential,25 mph,1,yes,40.7469163,-73.9490869
residential,25 mph,1,yes,40.7513022,-73.949614
residential,25 mph,1,yes,40.7498172,-73.9482608
residential,25 mph,1,no,40.7454548,-73.9567488
residential,25 mph,1,yes,40.7489037,-73.9473699
motorway,35 mph,2,yes,40.7645541,-74.0149275
motorway,35 mph,2,yes,40.7670063,-74.0211505
motorway,40 mph,1,yes,40.74485,-73.9625888
motorway,40 mph,3,yes,40.7100152,-73.9891291
secondary,20 mph,1,yes,40.708874,-73.9985525
